Gene	sgRNA	eff
Zfp91	Zfp91_1	1
Zfp91	Zfp91_2	1
Cer1	Cer1_4	1
Cer1	Cer1_5	1
Cer1	Cer1_3	1
Cer1	Cer1_1	1
Cer1	Cer1_2	1
Il20ra	Il20ra_1	1
Il20ra	Il20ra_5	1
Il20ra	Il20ra_4	1
Il20ra	Il20ra_2	1
Il20ra	Il20ra_3	1
Fanci	Fanci_4	1
Fanci	Fanci_3	1
Fanci	Fanci_5	1
Fanci	Fanci_1	1
Fanci	Fanci_2	1
Tbc1d9	Tbc1d9_5	1
Tbc1d9	Tbc1d9_4	1
Tbc1d9	Tbc1d9_3	1
Tbc1d9	Tbc1d9_2	1
Tbc1d9	Tbc1d9_1	1
Cnbd2	Cnbd2_5	1
Cnbd2	Cnbd2_2	1
Cnbd2	Cnbd2_1	1
Cnbd2	Cnbd2_4	1
Cnbd2	Cnbd2_3	1
Sprr1b	Sprr1b_4	1
Sprr1b	Sprr1b_2	1
Sprr1b	Sprr1b_1	1
Sprr1b	Sprr1b_5	1
Sprr1b	Sprr1b_3	1
Ropn1l	Ropn1l_1	1
Ropn1l	Ropn1l_3	1
Ropn1l	Ropn1l_5	1
Ropn1l	Ropn1l_4	1
Ropn1l	Ropn1l_2	1
Lgmn	Lgmn_2	1
Lgmn	Lgmn_5	1
Lgmn	Lgmn_4	1
Lgmn	Lgmn_3	1
Lgmn	Lgmn_1	1
1700017N19Rik	1700017N19Rik_4	1
1700017N19Rik	1700017N19Rik_5	1
1700017N19Rik	1700017N19Rik_2	1
1700017N19Rik	1700017N19Rik_1	1
1700017N19Rik	1700017N19Rik_3	1
Tspan9	Tspan9_1	1
Tspan9	Tspan9_3	1
Tspan9	Tspan9_5	1
Tspan9	Tspan9_2	1
Tspan9	Tspan9_4	1
Atp6v1d	Atp6v1d_2	1
Atp6v1d	Atp6v1d_3	1
Atp6v1d	Atp6v1d_1	1
Atp6v1d	Atp6v1d_5	1
Atp6v1d	Atp6v1d_4	1
Tagln	Tagln_3	1
Tagln	Tagln_4	1
Tagln	Tagln_5	1
Tagln	Tagln_2	1
Tagln	Tagln_1	1
Tmem19	Tmem19_3	1
Tmem19	Tmem19_4	1
Tmem19	Tmem19_2	1
Tmem19	Tmem19_1	1
Tmem19	Tmem19_5	1
Mrgprx2	Mrgprx2_3	1
Mrgprx2	Mrgprx2_1	1
Mrgprx2	Mrgprx2_2	1
Mrgprx2	Mrgprx2_5	1
Mrgprx2	Mrgprx2_4	1
Kif5a	Kif5a_5	1
Kif5a	Kif5a_3	1
Kif5a	Kif5a_4	1
Kif5a	Kif5a_2	1
Kif5a	Kif5a_1	1
Lrrc28	Lrrc28_4	1
Lrrc28	Lrrc28_2	1
Lrrc28	Lrrc28_1	1
Lrrc28	Lrrc28_5	1
Lrrc28	Lrrc28_3	1
Tspyl3	Tspyl3_1	1
Tspyl3	Tspyl3_4	1
Tspyl3	Tspyl3_2	1
Tspyl3	Tspyl3_3	1
Tspyl3	Tspyl3_5	1
Hmox1	Hmox1_1	1
Hmox1	Hmox1_2	1
Hmox1	Hmox1_4	1
Hmox1	Hmox1_5	1
Hmox1	Hmox1_3	1
Zfp317	Zfp317_4	1
Zfp317	Zfp317_5	1
Zfp317	Zfp317_2	1
Zfp317	Zfp317_1	1
Zfp317	Zfp317_3	1
Jup	Jup_1	1
Jup	Jup_5	1
Jup	Jup_4	1
Jup	Jup_3	1
Jup	Jup_2	1
Rgs11	Rgs11_5	1
Rgs11	Rgs11_2	1
Rgs11	Rgs11_3	1
Rgs11	Rgs11_4	1
Rgs11	Rgs11_1	1
Pkd2	Pkd2_5	1
Pkd2	Pkd2_3	1
Pkd2	Pkd2_2	1
Pkd2	Pkd2_4	1
Pkd2	Pkd2_1	1
Cyb5b	Cyb5b_4	1
Cyb5b	Cyb5b_3	1
Cyb5b	Cyb5b_1	1
Cyb5b	Cyb5b_2	1
Cyb5b	Cyb5b_5	1
Ralgapa1	Ralgapa1_4	1
Ralgapa1	Ralgapa1_2	1
Ralgapa1	Ralgapa1_1	1
Ralgapa1	Ralgapa1_5	1
Ralgapa1	Ralgapa1_3	1
Vmn2r105	Vmn2r105_4	1
Vmn2r105	Vmn2r105_1	1
Vmn2r105	Vmn2r105_3	1
Vmn2r105	Vmn2r105_2	1
Vmn2r105	Vmn2r105_5	1
Zfp648	Zfp648_3	1
Zfp648	Zfp648_2	1
Zfp648	Zfp648_5	1
Zfp648	Zfp648_1	1
Zfp648	Zfp648_4	1
Prr13	Prr13_5	1
Prr13	Prr13_2	1
Prr13	Prr13_1	1
Prr13	Prr13_4	1
Prr13	Prr13_3	1
Anxa4	Anxa4_2	1
Anxa4	Anxa4_5	1
Anxa4	Anxa4_4	1
Anxa4	Anxa4_1	1
Anxa4	Anxa4_3	1
LacZ	LacZ_178	1
LacZ	LacZ_266	1
LacZ	LacZ_61	1
LacZ	LacZ_205	1
LacZ	LacZ_119	1
LacZ	LacZ_59	1
LacZ	LacZ_15	1
LacZ	LacZ_133	1
LacZ	LacZ_185	1
LacZ	LacZ_194	1
LacZ	LacZ_275	1
LacZ	LacZ_159	1
LacZ	LacZ_14	1
LacZ	LacZ_270	1
LacZ	LacZ_171	1
LacZ	LacZ_51	1
LacZ	LacZ_277	1
LacZ	LacZ_236	1
LacZ	LacZ_264	1
LacZ	LacZ_27	1
LacZ	LacZ_244	1
LacZ	LacZ_148	1
LacZ	LacZ_40	1
LacZ	LacZ_50	1
LacZ	LacZ_72	1
LacZ	LacZ_121	1
LacZ	LacZ_190	1
LacZ	LacZ_155	1
LacZ	LacZ_110	1
LacZ	LacZ_237	1
LacZ	LacZ_262	1
LacZ	LacZ_22	1
LacZ	LacZ_201	1
LacZ	LacZ_29	1
LacZ	LacZ_1	1
LacZ	LacZ_10	1
LacZ	LacZ_62	1
LacZ	LacZ_225	1
LacZ	LacZ_279	1
LacZ	LacZ_231	1
LacZ	LacZ_224	1
LacZ	LacZ_243	1
LacZ	LacZ_219	1
LacZ	LacZ_154	1
LacZ	LacZ_230	1
LacZ	LacZ_39	1
LacZ	LacZ_210	1
LacZ	LacZ_265	1
LacZ	LacZ_216	1
LacZ	LacZ_183	1
LacZ	LacZ_181	1
LacZ	LacZ_176	1
LacZ	LacZ_189	1
LacZ	LacZ_30	1
LacZ	LacZ_12	1
LacZ	LacZ_88	1
LacZ	LacZ_141	1
LacZ	LacZ_254	1
LacZ	LacZ_81	1
LacZ	LacZ_173	1
LacZ	LacZ_99	1
LacZ	LacZ_258	1
LacZ	LacZ_136	1
LacZ	LacZ_278	1
LacZ	LacZ_213	1
LacZ	LacZ_25	1
LacZ	LacZ_103	1
LacZ	LacZ_192	1
LacZ	LacZ_123	1
LacZ	LacZ_139	1
LacZ	LacZ_188	1
LacZ	LacZ_217	1
LacZ	LacZ_255	1
LacZ	LacZ_49	1
LacZ	LacZ_209	1
LacZ	LacZ_138	1
LacZ	LacZ_94	1
LacZ	LacZ_97	1
LacZ	LacZ_245	1
LacZ	LacZ_257	1
LacZ	LacZ_172	1
LacZ	LacZ_246	1
LacZ	LacZ_167	1
LacZ	LacZ_34	1
LacZ	LacZ_78	1
LacZ	LacZ_160	1
LacZ	LacZ_143	1
LacZ	LacZ_226	1
LacZ	LacZ_41	1
LacZ	LacZ_268	1
LacZ	LacZ_175	1
LacZ	LacZ_90	1
LacZ	LacZ_126	1
LacZ	LacZ_156	1
LacZ	LacZ_233	1
LacZ	LacZ_218	1
LacZ	LacZ_153	1
LacZ	LacZ_269	1
LacZ	LacZ_43	1
LacZ	LacZ_234	1
LacZ	LacZ_263	1
LacZ	LacZ_91	1
LacZ	LacZ_253	1
LacZ	LacZ_115	1
LacZ	LacZ_187	1
LacZ	LacZ_17	1
LacZ	LacZ_207	1
LacZ	LacZ_111	1
LacZ	LacZ_135	1
LacZ	LacZ_57	1
LacZ	LacZ_96	1
LacZ	LacZ_129	1
LacZ	LacZ_272	1
LacZ	LacZ_163	1
LacZ	LacZ_13	1
LacZ	LacZ_166	1
LacZ	LacZ_250	1
LacZ	LacZ_42	1
LacZ	LacZ_20	1
LacZ	LacZ_108	1
LacZ	LacZ_252	1
LacZ	LacZ_11	1
LacZ	LacZ_113	1
LacZ	LacZ_114	1
LacZ	LacZ_80	1
LacZ	LacZ_109	1
LacZ	LacZ_140	1
LacZ	LacZ_248	1
LacZ	LacZ_77	1
LacZ	LacZ_122	1
LacZ	LacZ_105	1
LacZ	LacZ_169	1
LacZ	LacZ_8	1
LacZ	LacZ_101	1
LacZ	LacZ_152	1
LacZ	LacZ_28	1
LacZ	LacZ_71	1
LacZ	LacZ_18	1
LacZ	LacZ_212	1
LacZ	LacZ_240	1
