sgRNA	Gene	T0_rep1	T0_rep2	T12_DMSO_rep1	T12_DMSO_rep2	T12_MYCi_rep1	T12_MYCi_rep2
Pcyt2_4	Pcyt2	500.5086781342454	457.4553228969187	368.6867700212017	407.14187484264903	259.7580805462443	209.30749912745114
Ddx25_5	Ddx25	458.73135802811356	407.5511058536184	291.8770262667847	233.1702725359978	364.28224841545017	226.00756554719456
Olfr720_1	Olfr720	325.2077663163591	373.44989087402996	448.78835993652234	488.086995360327	382.91031793669475	671.3426700736863
Dnajb9_3	Dnajb9	410.40073280729445	355.9834149088749	314.9199493931098	472.38122570764324	132.4662721510728	351.8147325759285
Mesdc2_5	Mesdc2	261.31304144815755	319.38698907712137	199.70533376148427	173.97160230665122	263.8976515509653	167.00066419743442
3632451O06Rik_2	3632451O06Rik	487.4020679048707	590.533235012386	378.56230850391245	321.36420981645296	251.47893853680225	224.89422778587834
D10Jhu81e_1	D10Jhu81e	481.66792592951924	546.4511766241374	565.1002576217824	437.34527802088706	468.80641628465605	495.4353037857221
Avp_3	Avp	457.91219488877766	484.0709053200121	363.2003597530291	270.622492477013	589.888868172746	488.7552772178247
Vtcn1_3	Vtcn1	372.7192283978423	321.0504629785647	516.8198472618631	415.59882773255566	446.0387757586904	298.3745200327495
Ncaph2_1	Ncaph2	697.9269947142013	652.0817693657896	102.0472309880112	865.025467024738	53.81442306137332	829.4366321805909
Nrip1_4	Nrip1	386.64500176655287	410.04631670578345	612.2833859280671	595.6111106748546	786.5184908969946	748.1629756045062
Cers6_3	Cers6	819.982302475253	801.7944204956901	942.5652840720603	1256.4615722147032	745.1227808497845	1066.5775753409478
Acadvl_3	Acadvl	644.6813906573668	622.970976090531	729.6925656669617	837.2383361007589	770.9950996292908	634.6025239502508
Gtf3c3_4	Gtf3c3	108.94869753167697	103.96711884020878	128.38200027523988	21.746450288331403	98.31481136212433	21.15341746500836
Spag8_4	Spag8	692.19285273885	608.8314479282627	625.4507705716815	641.5202835057763	610.5867231963512	752.616326649771
LacZ_276	LacZ	565.2225661417829	596.3553936674376	876.7283608539886	1661.1871748030933	872.4145892449559	1830.3272796038812
Hoxd9_3	Hoxd9	406.3049171106149	351.82473015526654	475.123129223751	706.7596343707705	348.7588571477463	487.6419394565085
Syp_5	Syp	840.4613809586509	754.385414304555	1110.4494382781434	1261.2941167232214	1339.1512200272514	1138.9445298265027
Olfr643_1	Olfr643	580.7866657891652	585.5428133080559	738.470822096038	827.5732470837228	620.9356507081537	657.9826169378916
Bves_3	Bves	555.3926084697518	569.7398112443442	416.967180381121	440.96968640227567	368.4218194201712	261.6343739093139
Akap17b_1	Akap17b	813.4289973605657	874.1555352084755	878.9229249612576	2143.2334895277727	753.4019228592265	1761.300338402275
Tmem97_2	Tmem97	427.6031587333487	447.4744794882586	343.44928278760756	439.76155027514613	306.3282543493558	360.7214346664583
Adrbk1_3	Adrbk1	318.6544612016718	326.8726216336164	467.4421548483093	350.35947686756145	668.5407172624455	234.9142676377244
Fbxo2_1	Fbxo2	543.1051613797131	568.0763373429008	569.4893858363205	553.3263462253212	527.7953031019306	400.8015940738426
Rnf180_4	Rnf180	431.69897443002833	413.37326450867016	521.2089754764012	317.73980143506435	425.34092073508526	281.67445361300605
Cmpk1_4	Cmpk1	513.61528836362	469.9313771577437	226.04010304871295	77.32071213628943	318.7469673635189	120.24047822215277
Cfap58_2	Cfap58	614.3723545019378	578.0571807515608	661.661078341621	1383.315865563303	510.2021263318663	1632.1531580895924
Sox9_3	Sox9	197.418316579956	227.064187547016	154.71676956246858	102.6915708060094	295.97932683755323	181.4740550945454
Slc7a1_4	Slc7a1	315.37780864432807	380.935523430525	320.40635966128247	506.2090372672699	363.2473556642699	529.9487743865252
Gdi2_1	Gdi2	217.07823192401804	276.9684045903162	258.9585646577488	223.50518351896164	253.54872403916275	207.08082360481868
Pla2g5_5	Pla2g5	288.34542504624284	340.1804128451632	301.75256474949543	314.1153930536758	332.20057312886223	155.8672865842721
Dag1_3	Dag1	788.8541031804882	802.6261574464119	922.8142071066388	1241.963938689149	813.4257024276814	999.777309661974
Hif1a_2	Hif1a	622.563985895297	568.0763373429008	569.4893858363205	345.52693235904337	359.1077846595489	335.1146661561851
4930503L19Rik_3	4930503L19Rik	634.8514329853358	694.5003538525947	556.3220011927061	1179.1408600784139	430.51538449098655	942.9970838348463
Ildr1_5	Ildr1	502.14700441291717	474.09006191135205	634.2290270007577	664.4748699212373	779.2742416387329	750.3896511271387
Bhlhe23_3	Bhlhe23	572.595034395806	533.9751223633124	460.85846252650214	269.41435634988346	487.43448580590064	456.46848213965404
Gcn1l1_3	Gcn1l1	846.1955229340024	855.8573222925987	580.4622063726658	666.8911421754964	434.65495549570755	671.3426700736863
Inhba_2	Inhba	1064.9120811366922	1059.6328752194079	815.280565850455	439.76155027514613	1000.7412903913076	641.2825505181481
Gnl3_5	Gnl3	662.7029797227569	666.2212975280579	134.96569259704705	136.51938236563603	134.5360576534333	125.80716702873393
Sil1_2	Sil1	645.5005537967027	588.8697611109426	797.7240529923025	357.6082936303386	715.110891065557	424.1816870614834
Ctxn3_3	Ctxn3	758.5450670250592	795.1405248899168	737.3735400424034	571.4483881322641	1017.2995744101918	496.5486415470383
Pcolce_3	Pcolce	452.99721605276216	420.0271601144435	480.60953949192367	483.25445085180894	453.2830250169522	558.8955561807471
Stxbp5l_1	Stxbp5l	616.0106807806096	578.8889177022826	775.7784119196119	862.609194770479	859.9958762307929	1091.0710060899048
Sf1_5	Sf1	1020.6772716125528	899.1076437301256	424.6481547565627	326.19675432497104	386.01499619023554	504.3420058762519
Saa4_1	Saa4	625.8406384526406	563.0859156385708	793.3349247777644	588.3622939120773	626.110114464055	640.1692127568319
Pms1_4	Pms1	504.6044938309249	505.69606603877554	334.6710263585313	373.3140632830224	329.09589487532145	252.72767181878407
Slc15a5_4	Slc15a5	593.89327601854	621.3075021890877	490.4850779746344	624.6063777259631	592.9935464262868	659.0959546992078
Mrpl14_3	Mrpl14	825.7164444506044	860.8477439969288	96.56082071983855	337.06997946913674	169.722411193562	355.1547458598772
Rnf113a2_2	Rnf113a2	259.67471516948575	213.75639633546928	173.37056447425556	100.27529855175035	123.15223739045048	104.65374956372557
Usp26_4	Usp26	475.93378395416784	459.118796798362	774.6811298659774	474.79749796190225	583.6795116656644	605.6557421560289
Ssbp2_4	Ssbp2	480.02959965084744	372.6181539233083	357.7139494848564	247.6679060615521	371.52649767371196	249.3876585348354
